Qty	Name				Url
20	M2x3x3.5 Heat Set Inserts	https://amzn.to/4jeeI36
20	M2x6 SHCS			https://amzn.to/3Wg7lyi
8	M5x6 BHCS			https://amzn.to/40ad3Di
12	M5x10 BHCS			https://amzn.to/40t1uYX
20	M5 2020 Slide Nuts		https://amzn.to/40tPEOo
1	500mm 2020 Aluminum Extrusion	https://amzn.to/40dqOAR
1	Fret Wire			https://amzn.to/4abYcNa
4	M5x5.8x7.1 Heat Set Inserts	https://amzn.to/40r0apI
20	Prewired SMD Led 0603		https://amzn.to/4g1B8SI
1	Fret Wire Bender		https://amzn.to/3E202E7
1	CA Glue				https://amzn.to/3C5g27S
